contract,owner,version,schema_hash,fields_or_signature
HandoffEnvelope,shared,1.1,d8b539823cd27e96ba4a1c15925818267a8fc4af9aa4699cad597e009a1580b5,"schemaVersion,packageId,packageVersion,sequence,status,repository,baselineSha,branch,commits,draftPrUrl,contractRegistryVersion,contractRegistrySha256,consumedContracts,producedContracts,migrations,repositoryPorts,applicationPorts,runtimePorts,events,queues,featureFlags,reasonCodeCatalogVersion,evidenceRefs,acceptanceSummary,knownLimitations,openBlockers,nextPackage,packageOutputs"
CompiledArtifactType,P01,1.1,2dc5bd1322559c8ae0f5dabe945e69c01b6cb69ad379ceaa0f633f2e88072cea,"intent_route,plan_template,decision_rule,case_template,model_route"
CompiledArtifactStatus,P01,1.1,266a7448640bf17113b431919c1fb6113b022e1b9d8a932b9443404f620c8ba5,"discovered,candidate,validating,awaiting_approval,active,revalidating,deprecated,archived,rejected"
CompiledArtifact,P01,1.1,8afcafacad1085eb35d7b3fb0dd7715b05e7ff279f0d78b529a4b64fbe39bdcf,"artifactId,artifactKey,version,artifactType,name,description,scope,definition,applicability,requiredCapabilities,requiredPolicies,dependencySnapshot,riskLevel,status,lineageRef,validationSummaryRef,contentHash,createdAt"
ArtifactApplicability,P01,1.1,4af9af86a57212d4120637a0c97484890eb6c34e729fd7d90d6d893c32bf47c8,"requiredConditions,optionalConditions,forbiddenConditions,requiredParameters,allowedEnvironmentClasses,excludedEnvironmentClasses,minimumIntentScore,minimumConditionScore,maximumUncertainty,outOfDistributionPolicy"
ArtifactDependencySnapshot,P01,1.1,ab5eb452c0299802016cf8771536a2796cf656c8117a67d0a8c6158aca2e127a,"capabilityCatalogHash,policyVersionRefs,taskTypeVersionRefs,schemaVersionRefs,requiredSkillVersionRefs,compilerVersion"
ConditionExpression,P01,1.1,db033c6d65b1123fefd8185a8424eb6e227d8fea5978c599c48a7c835db5607e,"type,children,child,field,operator,value"
IntentRouteArtifactDefinition,P01,1.1,7a95d4c0620a5623725cb5672d22433a47981f8b239997a3e872a597378b8f7a,"taskTypeId,semanticExamples,exactPatterns,structuredHints,nextPath"
PlanTemplateArtifactDefinition,P01,1.1,b089d44944f3db3c5fcfff016a5b56f5d3482d89088448697b5cd4f20d425d04,"goalPattern,parameterSchema,parameterBindings,skillGoalGraph,completionContractTemplate,recoveryBranches"
SkillGoalNodeTemplate,P01,1.1,f8deaf1d8882195927d9c5070262fd14c8e894e084eaafc29e193dff8f3cb0a7,"nodeKey,nodeType,objectiveTemplate,requiredCapabilities,requiredEffectRefs,coveredCriterionTemplateIds,evidenceRequirements,artifactRequirements,inputTemplate,assumptionsAllowed,constraints"
