source_system,source_database,source_table_or_aggregate,source_authority,source_identity_fields,source_revision_rule,source_timestamp_field,record_family,record_type,schema_name,schema_version,schema_path,schema_hash,delivery_guarantee,evaluation_role,applicability,mapper,projection_mode,cursor_rule,redaction_profile,artifact_policy,required_references,status
"runtime","runtime_postgresql","agent_task","Runtime PostgreSQL","task_id","status/update revision as canonical source hash","updated_at","runtime","runtime.episode","sdar.evidence.runtime.episode","1","records/runtime.episode.schema.json","sha256:88473f0121cd6f133b3e31a7b73b47b3f5358d3285047818f30208e4115d1985","durable_projection","required","every Runtime episode","RuntimeEpisodeEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","","implemented_and_verified"
"runtime","runtime_postgresql","agent_task","Runtime PostgreSQL","task_id","status/update revision as canonical source hash","updated_at","runtime","runtime.request","sdar.evidence.runtime.request","1","records/runtime.request.schema.json","sha256:4b29650f054fb9f05107c47539b0daf010b57c4b5bcc4d50f2a3a1949c3624ca","durable_projection","required","every Runtime episode","RuntimeRequestEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.episode","implemented_and_verified"
"runtime","runtime_postgresql","agent_task","Runtime PostgreSQL","task_id","status/update revision as canonical source hash","updated_at","runtime","runtime.a2a_task","sdar.evidence.runtime.a2a_task","1","records/runtime.a2a_task.schema.json","sha256:457c233d3c38c737004ee002461d1d0b63c0b649d87fb009a7498891e4c48c98","durable_projection","required","when runtime.a2a_task source fact exists for the episode","RuntimeA2aTaskEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.request","implemented_and_verified"
"runtime","runtime_postgresql","goal","Runtime PostgreSQL","goal_id + version","version + canonical source hash","updated_at","runtime","runtime.goal","sdar.evidence.runtime.goal","1","records/runtime.goal.schema.json","sha256:b8be529e814e7113c6238f5b97b08ee0376e508d5aa761b5c8a4943314d839fe","durable_projection","required","every Runtime episode","RuntimeGoalEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.episode","implemented_and_verified"
"runtime","runtime_postgresql","user_goal_contract","Runtime PostgreSQL","goal_id + goal_version","goal_version + contract_hash","created_at","runtime","runtime.goal_contract","sdar.evidence.runtime.goal_contract","1","records/runtime.goal_contract.schema.json","sha256:9a7e66720735c85bf285d6d7c5091ffa41a8140ad99d5ce2cca39cdf131e3b35","durable_projection","required","every Runtime episode","RuntimeGoalContractEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.goal","implemented_and_verified"
"runtime","runtime_postgresql","goal_patch","Runtime PostgreSQL","patch_id","immutable row; canonical source hash","created_at","runtime","runtime.goal_patch","sdar.evidence.runtime.goal_patch","1","records/runtime.goal_patch.schema.json","sha256:28743b677ebad30dfc3d37f8daf217eb5d0f91ee58d96106d193d0e73774f220","durable_projection","required","when runtime.goal_patch source fact exists for the episode","RuntimeGoalPatchEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.goal,runtime.goal_contract","implemented_and_verified"
"runtime","runtime_postgresql","user_goal_plan","Runtime PostgreSQL","plan_id","revision + lock_version + content_hash","created_at","runtime","runtime.plan","sdar.evidence.runtime.plan","1","records/runtime.plan.schema.json","sha256:e3da35304c746b0f8429e0fb3315ea97208c371cec5678a59d77c96af3082755","durable_projection","required","every Runtime episode","RuntimePlanEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.goal_contract","implemented_and_verified"
"runtime","runtime_postgresql","skill_goal","Runtime PostgreSQL","skill_goal_id","lock_version + canonical source hash","updated_at","runtime","runtime.plan_step","sdar.evidence.runtime.plan_step","1","records/runtime.plan_step.schema.json","sha256:5cbc5a35b879921ecc02bd23fbe75815e5c6cb282c555aa96b2471bd1acb6e59","durable_projection","required","when runtime.plan_step source fact exists for the episode","RuntimePlanStepEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.plan","implemented_and_verified"
"runtime","runtime_postgresql","workflow_node_event","Runtime PostgreSQL","event_id","immutable event; canonical source hash","event_timestamp","runtime","runtime.state_transition","sdar.evidence.runtime.state_transition","1","records/runtime.state_transition.schema.json","sha256:d126d88b58419eb598555d3269a10e4633d1f6f75566f214fa378e751e4e2920","durable_projection","required","when runtime.state_transition source fact exists for the episode","RuntimeStateTransitionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.episode,runtime.plan_step","implemented_and_verified"
"runtime","runtime_postgresql","workflow_control_round","Runtime PostgreSQL","control_id + round_index","immutable round; canonical source hash","created_at","runtime","runtime.decision","sdar.evidence.runtime.decision","1","records/runtime.decision.schema.json","sha256:b38193b62539aa9f8be39f6c3ef29ca45f1005c6cdd01f0f8a872af20f81dc75","durable_projection","required","when runtime.decision source fact exists for the episode","RuntimeDecisionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.episode,runtime.plan","implemented_and_verified"
