id,phase,name,deps,estimate_person_days,reuse,packages,tables
G00,P0,需求冻结、ADR 与 Domain Skeleton,v1.2.2 关键 Domain/Port 已稳定；无 v1.2.3 Goal 依赖,7～10,Gemini CLI 源码接收流程；六仓库来源锁与许可证台账,`docs/`、`schemas/`、`packages/domain`、`packages/application`、`packages/persistence-postgres`、`scripts/`,仅建立 DDL Skeleton、Enum/状态字典和迁移占位；不激活产品行为
G01,P1,Runtime Capability Summary Builder,G00；v1.2.2 `SkillVersion`、`SkillUsageSpecification`、`SkillOutcomeSpecification` 可读取,6～8,Codex/Agent Skills 的 Progressive Disclosure 思想；不引入外部 Runtime,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`apps/server`,`runtime_capability_summary`、`runtime_capability_summary_item`、`runtime_capability_limitation`
G02,P1,Public Capability Card 与 A2A Projection,G01,5～7,A2A Agent Card 现有实现；Gemini/Agent Skills 的可审查能力描述思想,`packages/a2a-adapter`、`packages/application`、`packages/persistence-postgres`、`packages/management-api`、`apps/console`,`public_capability_card_snapshot`
G03,P2,Generic Task Understanding,G00、G01；初始 Task Type 使用人工 Fixture,9～12,Claude Code Plan Mode 的只读理解；LangMem Typed Extraction,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/model-provider-adapter`,`generic_task_understanding`、`generic_task_understanding_dimension`
G04,P2,Interactive Goal Session,G03,8～11,Claude Code Plan Mode、多轮反馈和 Permission Mode 交互范式,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/a2a-adapter`,`interactive_goal_session`、`interactive_goal_turn`、`goal_contract_candidate`
G05,P2,Interactive Planning Session 与 Plan Patch Compiler,G01、G04；v1.2.2 User Goal Planner/Validator Port 已稳定,10～14,Claude Code Plan 编辑；Codex Goal Steering；现有 v1.2.2 Plan Validator,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/a2a-adapter`、`packages/langgraph-runtime`（只复用，不建第二 Runtime）,`interactive_planning_session`、`interactive_planning_turn`、`user_goal_plan_candidate`
G06,P2,Planning Correction Facts 与 Interaction Episode,G04、G05,6～8,Gemini Auto Memory 的 User Correction 高权重；Claude Auto Memory 的作用域思想,`packages/domain`、`packages/application`、`packages/persistence-postgres`,`planning_correction_fact`、`planning_interaction_episode`
G07,P3,Experience Outbox、Job 与 Goal Episode,G00；v1.2.2 Runtime Fact 和 Terminal Event 已冻结,9～12,Gemini CLI 后台抽取、Eligibility、Run State、失败隔离；选择性 TypeScript Port,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/runtime-redis`、`apps/server`,`cognitive_runtime_outbox`、`cognitive_runtime_consumer_cursor`、`experience_job`、`goal_experience_episode`、`goal_experience_episode_source`、`experience_dead_letter`
G08,P3,Experience Observer 与 Typed Extractors,G07,9～12,LangMem Typed Extractor/Consolidation；Gemini Evidence-only/No-op/Redaction,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/model-provider-adapter`、`packages/runtime-redis`,`experience_observation`、`experience_observation_fact`、`experience_extraction`
G09,P4,Experience Reflector、Identity 与 Knowledge Curator,G08,8～11,ACE Reflector/Curator/Delta；AutoSkill Identity/Merge；LangMem Change Set,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/model-provider-adapter`,`experience_reflection`、通用 Candidate/Delta 记录（或各知识表的 candidate revision）
G10,P4,Task Type Induction,G06、G09,8～11,AWM Workflow Induction；AutoSkill Job-to-be-done Identity 和 Recent Intent Boundary,`packages/domain`、`packages/application`、`packages/persistence-postgres`,`task_type_definition`、`task_type_evidence`
G11,P4,Capability Pattern Induction 与 Gap Candidate,G01、G09,8～11,AutoSkill 能力身份；Voyager/Agent Skills 仅作概念参考,`packages/domain`、`packages/application`、`packages/persistence-postgres`,`capability_pattern_definition`、`capability_pattern_evidence`、`capability_experience_evidence`
G12,P5,Knowledge Promotion Framework,G09、G10、G11；复用现有 Skill Evolution 的通用验证组件,12～16,AutoSkill SkillEvo Lineage/Champion/Replay；ACE 正反计数；Gemini Candidate Inbox,`packages/domain`、`packages/application`、`packages/persistence-postgres`、`packages/runtime-redis`,`planning_heuristic`、`planning_heuristic_evidence`、`knowledge_promotion_evaluation`、`knowledge_status_transition`
