goal_id,phase,release_scope,name,dependencies,low_person_days,high_person_days,owner,paths,deliverables
G00,P0,core,仓库基线与 v1.2.3 完成性门禁,无,3,5,架构/Runtime Lead,`package.json`、`CHANGELOG.md`、`PROJECT_STATUS.md`、`execplans/`、`docs/`、`reports/`、`scripts/`,基线报告、v1.2.3 依赖核验、符号地图、迁移序列、Master ExecPlan、Goal Sync State
G01,P1,core,Runtime Artifact Domain、Schema 与架构门禁,G00,8,12,Domain/Architecture Engineer,`packages/domain/src/compiler/`、`schemas/v1.3/`、`scripts/check-architecture.mjs`、ADR,Artifact Domain、状态机、Condition DSL、Lineage、Validation、Execution/Feedback Schema、Golden Fixtures
G02,P1,core,Artifact PostgreSQL 持久化与 Repository,G01,10,14,Persistence Engineer,`infra/postgres/migrations/`、`packages/persistence-postgres/src/compiler/`、Repository Tests,M1 Migration、Repository、CAS、Active Pointer、Lineage、Validation/Approval/Execution/Feedback 表
G03,P1,core,Artifact Registry、Active Index、Outbox 与 Feature Flags,G02,8,11,Application/Runtime Engineer,`packages/application/src/compiler/`、`packages/runtime-redis/`、`apps/server/src/runtime.ts`,ArtifactRegistryService、Active Index、Outbox、Cache Invalidation、Feature Flags、Management Read Ports
G04,P1,core,操作员身份、审批与审计安全基线,G02、G03,8,12,Security/API Engineer,`packages/management-api/`、`apps/server/`、审计 Repository、OpenAPI,Operator Identity Port、Artifact Approval API Guard、审计、Idempotency/CAS、授权测试
G05,P2,core,Experience Trace Normalization,G00、G01、v1.2.3 Episode 可用,8,12,Experience/Domain Engineer,`packages/application/src/compiler/experience-trace/`、`packages/persistence-postgres/`、Worker,ExperienceTraceBuilder、Normalization Policy、Trace Repository、Redaction、Cohort Fingerprint
G06,P2,core,Process Variant 与 Workflow Pattern Mining,G05,12,18,Mining/Algorithm Engineer,`packages/application/src/compiler/mining/`、离线 Benchmark、可选 `research/`,Variant Miner、Precedence/Concurrency Matrix、Mandatory/Optional/Recovery Pattern、质量指标
G07,P2,core,Pattern Generalization 与 Artifact Candidate Generator,G06、G01,10,15,AI/Compiler Engineer,`packages/application/src/compiler/generalization/`、Model Stage、Candidate Repository,Pattern Fusion、Generalizer、Plan/Rule/Case/Route Candidate、Static Validator
G08,P2,core,Plan Template Compiler,G07、v1.2.3 Plan/Contract Validator,12,18,Goal Planning/Compiler Engineer,`packages/application/src/compiler/plan-template/`、Domain、Schema、Tests,Step Classifier、Capability Mapper、Skill Goal DAG Template、Parameter/Contract/Recovery Template
G09,P3,core,Replay Dataset 与 Fixture Builder,G05、G08,10,14,Evaluation/Data Engineer,`packages/application/src/compiler/replay/`、`tests/replay/`、Dataset Manifest,ReplayCase、Dataset Split、Counterexample Set、No-Physical Provider Harness
G10,P3,core,Replay 与流程一致性验证引擎,G08、G09,10,15,Evaluation/Runtime Engineer,`packages/application/src/compiler/validation/`、Validation Repository、Reports,Static/Plan/Rule/Counterfactual Replay、Fitness/Precision/Generalization、Validation Report
G11,P3,core,Shadow Engine,G03、G08、G10,8,12,Runtime/Evaluation Engineer,`packages/application/src/compiler/shadow/`、Runtime Hooks、Shadow Reports,Shadow Decision/Plan、Baseline Comparison、严格副作用隔离、Shadow Metrics
G12,P3,core,Artifact Approval、Promotion 与 Revalidation,G04、G10、G11,10,14,Governance/Runtime Engineer,`packages/application/src/compiler/promotion/`、Management API、Persistence、Outbox,Promotion Policy、Approval、Activation、Revalidation Trigger、Deprecation、Active Projection
G13,P4,core,Artifact Index、Semantic Retrieval 与候选排序,G03、G12,8,12,Retrieval Engineer,`packages/application/src/compiler/retrieval/`、PostgreSQL/pgvector/FTS、Cache,Active Index、Exact/Structured/Semantic Retrieval、RRF/Ranking、Tenant/Version Filter
G14,P4,core,Applicability、参数绑定与依赖有效性,G13、Capability Summary/Readiness/Policy Ports,10,14,Runtime Policy Engineer,`packages/application/src/compiler/applicability/`、Parameter Binding、Dependency Guard,ApplicabilityEvaluator、ParameterBinder、Capability/Readiness/Policy Guard、OOD
G15,P4,core,Plan Template Runtime 与 v1.2.x Handoff,G08、G12、G14,12,17,Goal Runtime Integration Engineer,`packages/application/src/compiler/runtime/`、v1.2.3 Planning Session、Plan Handoff,Template Instantiation、Plan Candidate、Validator Bridge、Review/Auto-confirm Policy、Execution Record
G16,P4,core,Decision Rule Runtime 与 Safety Policy Bridge,G07、G10、G12、G14,12,18,Rule/Policy Engineer,`packages/application/src/compiler/rules/`、可选 ZEN Adapter、现有 Policy Port,Condition Evaluator、Decision Table、Conflict Resolver、Rule Trace、Safety Policy Bridge
G17,P4,core,Fast Gateway 编排与 Cognitive Fallback,G13、G14、G15、G16,12,18,Runtime Lead,`packages/application/src/compiler/fast-gateway/`、`plan-preparation-processor`、A2A Task Entry,Request Normalizer、Gateway Orchestrator、Decision Log、Fallback Context、Feature Modes
G18,P4,core,Artifact Execution Feedback、监控与自动 Revalidation Signal,G12、G15、G16、G17,8,12,Telemetry/Runtime Engineer,`packages/application/src/compiler/feedback/`、Telemetry、Repositories、Workers,Execution/Feedback、Rolling Metrics、Revalidation Signal、Artifact Health
G19,P5,extended,Case Runtime 与 CBR,G07、G09、G12、G14、G18,12,18,CBR/Recovery Engineer,`packages/application/src/compiler/case-runtime/`、Case Index、Recovery Integration,Problem Fingerprint、Hybrid Retrieval、Case Adaptation、Failure Boundary、Recovery Candidate
G20,P5,extended,Model Cascade 与成本路由,G17、G18、现有 Model Runtime,10,15,Model Runtime Engineer,`packages/application/src/compiler/model-cascade/`、Model Runtime、Budget Repository,Complexity Features、Budget、Route Decision、Fallback Chain、Cost/Quality Feedback
G21,P6,core,Management API、Console、A2A 与运维,G03、G04、G10～G18；扩展 UI 可等待 G19/G20,12,18,Full-stack/API Engineer,`packages/management-api/`、`apps/console/`、`packages/a2a-adapter/`、OpenAPI,Artifact/Compiler/Validation/Execution API、Governance Console、A2A Projection、Runbook
G22,P7,core,Hardening、性能、安全、灰度与发布,G00～G18、G21；Full Release 另含 G19/G20,15,22,全团队/Release Lead,全仓库、CI、scripts、infra、reports、SBOM、THIRD_PARTY_NOTICES,Full Verify、Chaos/Performance/Security、Release Report、SBOM、Sources Lock、Draft PR
