package,goals,phase,depends_on,required_predecessor_status,next,structural_readiness
P00,G00,Foundation Gate,,{},P01,READY_FOR_SEQUENTIAL_SUBMISSION
P01,G01,Foundation Domain,P00,"{""P00"": ""READY_FULL""}",P02,READY_FOR_SEQUENTIAL_SUBMISSION
P02,G02+G03+G04,Foundation Persistence Governance,"P00,P01","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED""}",P03,READY_FOR_SEQUENTIAL_SUBMISSION
P03,G05+G06,Offline Compiler,"P00,P01,P02","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED""}",P04,READY_FOR_SEQUENTIAL_SUBMISSION
P04,G07+G08,Offline Compiler,"P00,P01,P02,P03","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED""}",P04R,READY_FOR_SEQUENTIAL_SUBMISSION
P04R,,Mandatory Semantic Alignment Remediation,"P03,P04","{""P03"": ""COMPLETED"", ""P04"": ""COMPLETED""}",P05,MANDATORY_RELEASE_GATE
P05,G09+G10,Validation,"P00,P01,P02,P03,P04,P04R","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P04R"": ""COMPLETED""}",P06,READY_FOR_SEQUENTIAL_SUBMISSION
P06,G11+G12,Validation Governance,"P00,P01,P02,P03,P04,P05","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED""}",P07,READY_FOR_SEQUENTIAL_SUBMISSION
P07,G13+G14,Online Runtime Foundation,"P00,P01,P02,P03,P04,P05,P06","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED""}",P08,READY_FOR_SEQUENTIAL_SUBMISSION
P08,G15,Online Runtime,"P00,P01,P02,P03,P04,P05,P06,P07","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED""}",P09,READY_FOR_SEQUENTIAL_SUBMISSION
P09,G16,Online Runtime,"P00,P01,P02,P03,P04,P05,P06,P07,P08","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED"", ""P08"": ""COMPLETED""}",P10,READY_FOR_SEQUENTIAL_SUBMISSION
P10,G17+G18,Online Runtime Integration,"P00,P01,P02,P03,P04,P05,P06,P07,P08,P09","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED"", ""P08"": ""COMPLETED"", ""P09"": ""COMPLETED""}",P11,READY_FOR_SEQUENTIAL_SUBMISSION
P11,G19+G20,Extended Runtime,"P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED"", ""P08"": ""COMPLETED"", ""P09"": ""COMPLETED"", ""P10"": ""COMPLETED""}",P12,READY_FOR_SEQUENTIAL_SUBMISSION
P12,G21,Productization,"P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED"", ""P08"": ""COMPLETED"", ""P09"": ""COMPLETED"", ""P10"": ""COMPLETED"", ""P11"": ""COMPLETED""}",P13,READY_FOR_SEQUENTIAL_SUBMISSION
P13,G22,Hardening Release,"P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","{""P00"": ""READY_FULL"", ""P01"": ""COMPLETED"", ""P02"": ""COMPLETED"", ""P03"": ""COMPLETED"", ""P04"": ""COMPLETED"", ""P05"": ""COMPLETED"", ""P06"": ""COMPLETED"", ""P07"": ""COMPLETED"", ""P08"": ""COMPLETED"", ""P09"": ""COMPLETED"", ""P10"": ""COMPLETED"", ""P11"": ""COMPLETED"", ""P12"": ""COMPLETED""}",,READY_FOR_SEQUENTIAL_SUBMISSION
